[1, '"RTybvkaPne8"', '"Craziest Conspiracy Theories"', '"2020-04-04T20:12:39.000Z"', '"UCAVojJ1k03GZzjSbdXXunkw"', '"ShaneGlossin"', '22', '"People & Blogs"', '"20.04.10"', '"shane|dawson|conspiracy|theories|journalism|investigative journalism|docuseries|documentary"', '"9766913"', '"2962"', '"657767"', '"5922"', '"80615"']
[2, '"jEExcR41NTQ"', '"6 Vegans Vs 1 Meat Eater"', '"2020-04-07T16:37:04.000Z"', '"UC-lHJZR3Gqxm24_Vd_AJ5Yw"', '"PewDiePie"', '24', '"Entertainment"', '"20.04.10"', '"SATIRE"', '"4076222"', '"1020"', '"366911"', '"3844"', '"42109"']
[3, '"sXMYhYhjAck"', '"YouTube Video Challenge! Spy Ninjas Teach PZ9 How To Make DIY Funny Movies for Best Friends at Home"', '"2020-04-03T17:45:01.000Z"', '"UCmFzvquJYoSDFhd9W0JhZKw"', '"Exposing Project Zorgo"', '24', '"Entertainment"', '"20.04.10"', '"spy ninja|videos|movies|how to|make|making|create|film|diy|collins key|giant|real|vs|jelly|build|minecraft|123 go|funny|friends|tricks|sssniperwolf|people|unspeakable|buy|sharer|24 hours|satisfying|best|wins|dobre|last to|try guys|learn|test|challenges|vlog|vlogs|comedy|laugh|fun|fortnite|gaming|battle royal|competition|lazarbeam|meme|ssundee|game|memes|mystery|sypherpk|lachlan|ali a|event|race|new|search|flamingo|roblox|prestonplayz|fgteev|escape|piggy|cwc|chad wild clay"', '"5632162"', '"1370"', '"237698"', '"7119"', '"45659"']
[4, '"QOYvWpYDr3Q"', '"Bitten While Defending A Friend"', '"2020-04-04T19:00:10.000Z"', '"UCu6v4AdYxVH5fhfq9mi5llA"', '"Let Me Explain Studios"', '1', '"Film & Animation"', '"20.04.10"', '"bitten|while|defending|friend|Rebecca Parham|Let Me Explain Studios|animated|animator|storytime|storytelling|storyteller|cartoon|funny|animation|school"', '"3691063"', '"501"', '"186189"', '"2329"', '"22371"']
[5, '"bQfihyd99C8"', '"I Used Hearing Aid Secretly"', '"2020-04-03T18:45:00.000Z"', '"UCYzEMRKqrh01-tauv7MYyVQ"', '"My Story Animated"', '1', '"Film & Animation"', '"20.04.10"', '"my story animated|short story|animation|video animation|actually happened|animated story|animation short film|animated|story animated|hearing aid|deaf|secret|safe|money|big safe"', '"3330571"', '"602"', '"70429"', '"3750"', '"4146"']
[6, '"xvSV7m2Ktug"', '"Machine Gun Kelly - What\'s Poppin Freestyle"', '"2020-04-08T17:54:17.000Z"', '"UCUs8sGiP4avNaYNVO22INhQ"', '"Machine Gun Kelly"', '10', '"Music"', '"20.04.10"', '"[none]"', '"1280017"', '"117"', '"107229"', '"4329"', '"10531"']
[7, '"ANbhxA4xJ3g"', '"10 Things Megan Thee Stallion Can\'t Live Without | GQ"', '"2020-04-09T16:00:11.000Z"', '"UCsEukrAd64fqA7FjwkmZ_Dw"', '"GQ"', '24', '"Entertainment"', '"20.04.10"', '"10 essentials|ten essentials|megan thee stallion|megan thee stallion 2020|megan thee stallion interview|megan thee stallion gq|megan thee stallion 10 essentials|my essentials|megan thee stallion favorite|megan thee stallion favorites|favorite megan thee stallion|megan thee stallion 10 things|megan thee stallion explains|megan thee stallion breaks down|10 things megan thee stallion|megan thee stallion top 10|10 essentials megan thee stallion|gq|gq magazine"', '"711404"', '"493"', '"38869"', '"531"', '"2268"']
[8, '"O4KxqOuPycE"', '"How I Learned To Love Again"', '"2020-04-09T17:00:14.000Z"', '"UC-lCjm6VLCotg5ZOfJ7xF9w"', '"Hello Hunnay with Jeannie Mai"', '26', '"Howto & Style"', '"20.04.10"', '"Hello Hunnay|Jeannie Mai|Kin|Lifestyle|How To|Empowerment|hello hunay|hello honey|hello hunny|confidence|how to be confident|personal development|finally opening up|dating advice|how to build self confidence|divorce|dating after divorce|how to love yourself|self love|how to love yourself and be confident|how to be more confident|self confidence|self love tips|how to practice self love|how to love yourself more|life after divorce|relationship advice"', '"314128"', '"856"', '"20014"', '"511"', '"2351"']
[9, '"3QqnhDI7VFA"', '"Pastry Chef Attempts to Make Gourmet Cadbury Creme Eggs | Gourmet Makes | Bon Appétit"', '"2020-04-09T16:25:04.000Z"', '"UCbpMy0Fg74eXXkvxJrtEn3w"', '"Bon Appétit"', '26', '"Howto & Style"', '"20.04.10"', '"gourmet makes|claire|claire saffitz|claire makes|claire bon appetit|pastry chef|claire gourmet makes|cadbury creme eggs|make cadbury creme eggs|making cadbury creme eggs|how to cadbury creme eggs|claire cadbury creme eggs|claire makes cadbury creme eggs|gourmet cadbury creme eggs|cadbury creme eggs bon appetit|cadbury eggs|gourmet cadbury eggs|diy cadbury eggs|homemade cadbury eggs|cadbury eggs recipe|claire cadbury eggs|cadbury|easter|food|bon appetit"', '"1941876"', '"1965"', '"74275"', '"929"', '"6061"']
[10, '"mjx7BLpJWbE"', '"[BT21] BT21 UNIVERSE ANIMATION - BTS Reaction"', '"2020-04-09T08:55:13.000Z"', '"UCINr5W7cwW06ADtsszAToAw"', '"BT21"', '1', '"Film & Animation"', '"20.04.10"', '"[none]"', '"1946007"', '"1120"', '"278827"', '"734"', '"9218"']
