rank,video_id,title,publishedAt,channelId,channelTitle,categoryId,category,trending_date,tags,view_count,likes,dislikes,comment_count,duration
1,loOWKm8GW6A,twenty one pilots - Level of Concern (Official Video),2020-04-09T16:00:10.000Z,UCBQZwaNPFfJ1gZ1fLZpAEGw,twenty one pilots,10,Music,20.04.10,"""twenty one pilots|level of concern|twenty one pilots level of concern|level of concern official|level of concern video|tyler joseph level of concern|tell me we’re ok|would you be my little quarantine|twenty one pilots quarantine|top level of concern|21 pilots level of concern|fueled by ramen|level concern twenty one pilots|official twenty one pilots|twenty one pilots official|josh dun|tyler joseph|top official video|21 pilots""",5015897,725697,5923,44987,233
2,BccyzhMWVmg,Sigues Con Él Remix - Arcangel X Sech X Romeo Santos ( Video Oficial ),2020-04-10T04:00:11.000Z,UCu4bj03KW4CwAsYtHSwMEsQ,Arcangel,10,Music,20.04.10,"""arcangel|austin santos""",1728928,211146,6844,9543,198
3,lGSOWwUvJiU,Mixing Every Bath Bomb From Lush Together,2020-04-09T01:39:05.000Z,UCbAwSkqJ1W_Eg7wr3cp5BUA,Safiya Nygaard,22,People & Blogs,20.04.10,"""mixing every bath bomb from lush together|bath bombs|soaps|franken|bad makeup science|lush|bath & body works|safiya nygaard|safia|sofia|safiya mixing|safiya and tyler""",3974319,249534,3992,19865,1944
4,PKXloFW_ZCA,Gorillaz - Aries ft. Peter Hook & Georgia (Episode Three),2020-04-09T15:00:11.000Z,UCfIXdjDQH9Fau7y99_Orpjw,Gorillaz,1,Film & Animation,20.04.10,"""gorillaz|song machine|aries|peter hook|georgia|damon albarn|jamie hewlett|2d|murdoc niccals|noodle|russel hobbs|started out|new order|joy division""",1697848,176502,2118,9786,289
5,87NvIDKag20,"J.I. - ""Proud Of Me"" (Official Music Video)",2020-04-10T04:14:55.000Z,UCT4WhY3XAlGz5fb4vUaDXNA,J.I.,10,Music,20.04.10,"""Ji|ji prince of ny|j.i|j I|proud of me|proud of me ji|ji proud of me|j.i proud of me|proud of me j.i|ji prince of New York|j I proud of me|proud of me j I|lil jay|music|prince of New York|prince of ny|j.i.|j.i the prince of New York|proud of me lyrics|j.i proud of me lyrics|proud|ji love scars|j.i. need me|j.i prince of New York|ji the prince of ny proud of me""",185612,33641,285,1903,195
6,kgRb2fSt8fs,Brewstew - School Field Trip,2020-04-09T23:14:35.000Z,UCepPGz8AVCbggMl3BvboaBA,brewstewfilms,23,Comedy,20.04.10,"""school|field trip|animation|stick figure|brewstew|funny|story|bowling|bowling alley|bowling ball|class|flash animation|cartoon|story time""",353926,31542,260,3571,255
7,VJeC0ChCuao,Justin Timberlake Cries a River While Eating Spicy Wings | Hot Ones,2020-04-09T15:00:27.000Z,UCPD_bxCRGpmmeQcbe2kpPaA,First We Feast,26,Howto & Style,20.04.10,"""First we feast|fwf|firstwefeast|food|food porn|cook|cooking|chef|kitchen|recipe|cocktail|bartender|craft beer|complex|complex media|Cook (Profession)sean evans|justin timberlake|justin timberlake hot ones|justin timberlake hot sauce|justin timberlake spicy wings|justin timberlake hot wings|justin timberlake marilyn manson|justin timberlake interview|justin timberlake 2020|hot ones|hot ones hot sauce|the last dab|da bomb reaction|justin timberlake da bomb""",3071478,119012,2007,12048,1778
8,Nbq6Wfh9fi4,When Your Friend Goes Steampunk - Key & Peele,2020-04-09T20:00:04.000Z,UCdN4aXTrHAtfgbVG9HjBmxQ,Key & Peele,23,Comedy,20.04.10,"""Key & Peele|Key and Peele|Jordan Peele|Keegan-Michael Key|keey & peele|Key & Peele full episodes|key and peele show|steampunk|levi|cedric|telescope|funny|funny video|comedy videos|funny jokes|funny clips|cedric and levi|cedric and levi key and peele|levi and cedric key and peele|levi and cedric|keegan michael key|key and peele steampunk|key and peele cedric and levi|key and peele levi""",1058268,40070,681,2284,199
9,d4tOKn5Zosc,Kenia Os - Tercera Noche (Official Video),2020-04-09T23:00:14.000Z,UCSEY-xdBrV-J1zpLg9-mr6w,K OS,10,Music,20.04.10,"""Kenia|osuna|keninis|Kenia os|k os|kenia os bonita|kenia os por siempre|kenia os roast|kenia os delito|kenia os mentiroso|kenia os cocteles|kenia os diamantes|kenia os musica|k os escribeme|jbalvin|karol g|bad bunny|nuevos lanzamientos|nueva musica 2020|balvin|jbalvin colores|karol g tusa|anuel aa karol g|yhlqmdlg|bad|bunny|billie eilish|billie eilish live|billie|say yo|kenia os nueva cancion|kenia os mil|os|lizos music|kenia os spotify""",1565348,307865,18258,33138,179
10,GXzmVdxzk70,Fredo Bang - Lazer Tag (Classic) (Dir. @DrewFilmedIt),2020-04-09T16:00:15.000Z,UCuP4PfIUKLTDkp7SQ1M4ksg,DrewFilmedIt,10,Music,20.04.10,"""[none]""",170869,11259,263,799,102
